%LR04age	RedSea
0	0
0.0228935	2.24
0.0736574	8.74
0.1075	-0.78
0.158264	1.4
0.192106	-4.69
0.24287	5.22
0.268086	9.61
0.276381	-0.67
0.327145	0.69
0.358002	-9.7
0.360988	2.81
0.388526	-1.01
0.403457	2.98
0.411752	-0.82
0.418719	9.66
0.445594	3.53
0.449244	0.89
0.471142	-1.39
0.479768	2.99
0.509961	3.34
0.530201	-3.31
0.540486	1.23
0.564043	-0.97
0.570679	0.18
0.601204	7.19
0.614807	5.52
0.631728	7.54
0.64865	6.41
0.661921	5.08
0.692446	11.75
0.699414	-1.17
0.722639	-0.11
0.733256	-2.9
0.753164	-1.33
0.783688	0.88
0.809236	8.46
0.813881	-1.66
0.817531	2.13
0.844406	-0.12
0.868295	1.59
0.874931	-0.49
0.902137	-3.96
0.905123	2.26
0.935648	0.5
0.952901	-4.86
0.965841	0.85
0.986744	-0.55
0.996366	0.15
1.02689	-1.99
1.03751	0.16
1.05708	-5.26
1.07135	-2.35
1.09391	9.62
1.1392	3.3
1.14567	-4.75
1.1835	4.2
1.18499	3.3
1.19644	-11.02
1.23078	14.53
1.27258	-5.72
1.30095	1.19
1.32334	2.82
1.37162	2.24
1.39949	-7.26
1.44179	0.83
1.44976	-7.97
1.51247	-4.12
1.5259	-7.99
1.57667	-5.31
1.58264	-1.7
1.65281	-11.97
1.65331	-2.43
1.69113	-7.52
1.70358	-1.89
1.72348	-1.7
1.77972	-9.21
1.79416	-2.87
1.83049	-5.49
1.86483	-10.17
1.90663	-7.91
1.935	-19.61
1.9574	-12
2.03354	-11.93
2.07584	-8.69
2.08431	-1.89
2.14652	-5.3
2.1709	-10.82
2.24655	-12.93
2.27243	-1.34
2.28338	2.9
2.42373	-8.59
2.42472	-14.12
2.52525	1.74
2.56507	-2.46
2.67755	-9.66
2.70641	-11
2.77907	3.97
2.84676	1.84
2.93137	-9.81
2.9881	-2.47
3.03289	2.06
3.12944	-0.94
3.18518	-6.24
3.27278	1.19
3.28472	-11.78
3.34577	-8.93
3.47318	-8.38
3.60722	-2.88
3.66031	-3.76
3.84611	-2.47
3.84876	2.52
3.98148	0.76
4.1142	-10.62
4.20312	-6.04
4.24691	-22.58
4.37963	-26.57
4.41812	-9.44
4.46191	-23.68
4.54287	-15.85
4.62515	-8.74
4.6371	-7.33
4.70744	-26.58
4.78441	-4.04
4.78839	-27.64
4.87068	-2.51
4.95296	-3.79
5.00472	-9.63
5.03392	-25.47
5.11488	-12.52
5.1162	-21.89
5.15071	-9.37
5.19849	-15.87
5.27944	-24.46
5.36173	-22.3
5.37102	-14.47
5.44401	-10.65
5.51833	3.36
5.52497	-24.78
5.60725	-14.49
5.68954	-14.19
5.73864	-15.48
5.77049	-6.21
5.85278	-20.19
5.88463	-8.41
5.93506	-26.92
6.01602	-19.71
6.0983	-13.16
6.10494	-38.19
6.3717	-24.79
6.66235	-11.85
7.40688	-25.44
8.03761	-24.73
8.34618	-52.86
9.48837	-24.92
10.3369	-39.59
10.4862	-25.4
12.3277	-61.76
13.4674	-75.52
14.0909	-71.32
14.5107	-73.87
16.6565	-85.57
25.1953	-114.24
30.6823	-97.63
32.1986	-103.38
32.6576	-96.33
33.1085	-100.5
33.5579	-104.14
34.0073	-102.42
34.4537	-103.81
34.9002	-98.32
35.3451	-104.94
35.7524	-106.58
36.1452	-103.49
36.5367	-105.45
36.8486	-91.41
36.9269	-102.29
37.1393	-90.81
37.2109	-89.01
37.3144	-101.78
37.5321	-95.2
37.5732	-90.47
37.6953	-96.05
37.8573	-99.86
37.8626	-87.46
38.0192	-93.28
38.1466	-77.93
38.2381	-78.83
38.2727	-86.26
38.3987	-82.19
38.5248	-89.45
38.6496	-83.69
38.7743	-71.69
38.7889	-89.3
38.8977	-82.38
39.0212	-90.6
39.1446	-75.9
39.2667	-81.64
39.3888	-83.51
39.5096	-84.79
39.6157	-80.47
39.6303	-80.14
39.7511	-77.36
39.8467	-85.69
39.9353	-71.09
40.0248	-93.13
40.1124	-79.35
40.1672	-86.02
40.201	-88.63
40.3752	-82.96
40.4618	-89.61
40.633	-75.9
40.7186	-79.75
40.8032	-93.88
40.8746	-80.53
40.9057	-84.44
40.9303	-80.53
40.986	-77.93
41.0411	-86.66
41.0962	-83.51
41.1513	-73.83
41.2468	-86.2
41.2594	-86.66
41.3132	-85.34
41.3318	-86.78
41.4194	-88.98
41.4724	-84.24
41.5249	-87.79
41.5773	-89.45
41.629	-93.13
41.6808	-87.94
41.7319	-87.34
41.8182	-74.98
41.9004	-71.49
42.069	-83.51
42.2356	-76.54
42.4021	-75.5
42.5667	-72.56
42.7312	-68.65
42.8945	-69.4
42.9469	-80.69
43.0428	-66.89
43.1637	-63.11
43.2842	-71.49
43.4036	-77.55
43.5226	-84.79
43.641	-88.98
43.759	-92.34
43.8759	-84.42
43.9924	-80.73
44.1013	-78.13
44.1936	-85.87
44.1992	-78.76
44.2852	-83.33
44.3764	-83.69
44.4672	-79.75
44.5572	-84.05
44.6471	-78.75
44.7363	-77.74
44.8251	-84.24
44.8653	-89.45
44.9135	-75.9
45.0019	-75.1
45.0895	-67.14
45.1767	-87.05
45.2635	-80.53
45.3499	-87.49
45.4359	-82.96
45.5215	-82.38
45.6071	-82.58
45.6919	-72.79
45.7767	-67.39
45.8611	-85.34
45.8647	-72.99
45.9451	-87.34
46.0287	-84.98
46.1123	-77.16
46.1661	-77.31
46.1955	-75.7
46.2917	-78.54
46.3952	-78.75
46.4982	-76.54
46.6013	-73.83
46.7038	-67.14
46.7157	-78.35
46.8058	-71.09
46.9083	-79.15
47.0103	-70.62
47.0925	-81.66
47.1119	-76.75
47.2134	-69.4
47.3179	-64.22
47.4398	-72.56
47.561	-83.33
47.6822	-84.05
47.7282	-81.69
47.8035	-87.79
47.9247	-89.45
48.0459	-78.34
48.1672	-88.63
48.1803	-84.17
48.2884	-90.93
48.4096	-99.99
48.4735	-84.98
48.5709	-84.79
48.5996	-81.86
48.6682	-80.53
48.7656	-76.11
48.7913	-84.4
48.8635	-76.54
48.9615	-76.54
49.0594	-77.16
49.0785	-76.45
49.158	-68.65
49.2559	-79.55
49.2702	-82.13
49.355	-73.02
49.4542	-76.97
49.5533	-74.25
49.5581	-75.06
49.6531	-75.1
49.7492	-77.63
49.7528	-60.46
49.7976	-72.91
49.9541	-65.82
50.0371	-70.54
50.0556	-72.56
50.1571	-72.33
50.2055	-73.79
50.2592	-67.64
50.362	-70.62
50.4587	-72.57
50.4653	-64.22
50.5545	-62.09
50.5907	-78.66
50.6241	-63.43
50.6942	-58.84
50.7555	-72.89
50.7647	-55.58
50.8356	-38.77
50.8706	-70.96
50.9192	-40.31
51.0036	-53
51.0637	-72.92
51.0884	-71.09
51.1736	-66.62
51.1923	-67.3
51.2245	-77.83
51.2596	-68.65
51.3464	-68.65
51.3854	-77.53
51.434	-60.46
51.514	-83.05
51.522	-69.15
51.6111	-64.22
51.7007	-65.07
51.7394	-82.03
51.7398	-73.68
51.7911	-74.04
51.8039	-83.2
51.8823	-56.16
51.9743	-69.64
51.9966	-77.85
51.9974	-68.96
52.0674	-69.15
52.161	-81.64
52.2542	-75.48
52.2546	-66.56
52.2558	-71.49
52.3517	-91.25
52.4481	-79.15
52.5118	-70.41
52.5122	-68.67
52.5456	-74.04
52.6443	-50.24
52.7905	-60.73
52.8316	-67.52
52.8323	-63.82
52.9584	-65.07
53.1276	-58.02
53.2424	-60.91
53.243	-60.21
53.2994	-54
53.4733	-58.84
53.5556	-64.87
53.5562	-66.04
53.6485	-65.07
53.8263	-67.64
53.8688	-71.26
53.8694	-68.82
54.0055	-64.22
54.182	-72.12
54.1827	-66.94
54.1873	-65.07
54.3711	-55.89
54.5569	-52.01
54.5735	-64.39
54.5742	-72.49
54.7454	-60.46
54.8084	-70.57
54.8091	-70.51
54.9407	-68.88
55.0328	-73.02
55.3812	-67.93
55.3824	-75.39
55.3948	-62.63
55.7606	-76.97
55.9684	-70.22
55.9697	-91.78
56.1314	-61.27
56.5072	-61.27
56.6415	-96.45
56.8431	-92.34
57.0322	-91.86
57.2089	-84.89
57.2102	-95.62
57.2201	-80.14
57.408	-85.34
57.5971	-92.5
57.785	-102.81
57.9194	-101.6
57.9206	-93.8
57.9218	-99.84
57.9741	-94.17
58.162	-95.63
58.3511	-98.95
58.488	-90.55
58.4892	-100.64
58.539	-96.19
58.7281	-99.73
58.916	-93.28
59.0566	-93.85
59.0578	-100.67
59.1038	-97.34
59.293	-99.34
59.4808	-99.99
59.6252	-95.19
59.6264	-101.82
59.67	-107.19
59.8578	-98.57
60.047	-92.98
60.1938	-89.98
60.195	-102.8
60.2348	-96.62
60.424	-97.93
60.6118	-97.19
60.7624	-94.42
60.7636	-99.9
60.7997	-100.37
60.9888	-99.86
61.1767	-97.34
61.3297	-95.4
61.3658	-84.61
61.5537	-94.32
61.7428	-83.69
61.8984	-89.83
61.8996	-95.7
61.9307	-79.35
62.1198	-94.32
62.3077	-93.43
62.467	-87.19
