%Wael2002	LR04	Mean	Relative Sea Level
%Age	age	d18Ow	RSL
0.5	0	0	0
2	1.5035	0	-0.15
3.5	3.00699	0.01	-1.18
5	4.51049	0.02	-2.51
6.5	6.22748	0.04	-4.87
8	8.10685	0.08	-9.74
9.5	9.98622	0.21	-24.34
11	11.8656	0.38	-44.99
12.5	13.745	0.57	-67.26
14	15.6243	0.75	-88.94
15.5	17.5037	0.89	-105.17
17	19.3831	0.97	-114.17
18.5	21.2624	1.02	-120.07
20	22.9855	1.04	-123.02
21.5	24.489	1.02	-120.51
23	25.9924	1	-117.71
24.5	27.4959	0.96	-112.99
26	29.3693	0.9	-106.2
27.5	31.2487	0.84	-98.53
29	33.128	0.75	-88.06
30.5	35.0074	0.69	-81.72
32	36.7334	0.67	-78.47
33.5	37.9855	0.67	-79.21
35	39.1883	0.68	-80.68
36.5	40.3911	0.66	-78.03
38	41.3983	0.57	-66.73
39.5	42.3745	0.53	-62.11
41	43.2766	0.57	-67.82
42.5	44.1787	0.62	-73.54
44	45.0808	0.64	-75.6
45.5	45.9829	0.62	-73.49
47	46.885	0.62	-73.22
48.5	47.7871	0.63	-74
50	48.6892	0.61	-71.61
51.5	49.5913	0.58	-68.87
53	50.4934	0.49	-57.56
54.5	51.3955	0.44	-52.09
56	52.2976	0.47	-55.9
57.5	53.2819	0.51	-60.54
59	54.2973	0.48	-56.2
60.5	55.4249	0.41	-48.02
62	56.5525	0.46	-54.74
63.5	58.0786	0.63	-74.58
65	59.9579	0.72	-84.65
66.5	61.8373	0.71	-84.36
68	63.8365	0.66	-78.05
69.5	65.8411	0.65	-76.38
71	67.8458	0.62	-72.77
72.5	69.8504	0.57	-67.31
74	71.8551	0.38	-44.38
75.5	73.8598	0.34	-39.62
77	75.8644	0.31	-36.31
78.5	77.8691	0.22	-25.43
80	79.8266	0.17	-19.7
81.5	81.706	0.16	-18.67
83	83.5523	0.19	-22.3
84.5	85.0558	0.27	-32.06
86	86.5593	0.35	-41.87
87.5	88.0628	0.41	-48.63
89	89.5663	0.41	-48.29
90.5	91.0698	0.4	-47.19
92	92.5733	0.36	-42.2
93.5	94.0768	0.29	-34.74
95	95.3842	0.23	-27.02
96.5	96.587	0.23	-27.59
98	97.7898	0.24	-27.81
99.5	98.9926	0.2	-23.84
101	100.195	0.18	-20.86
102.5	101.398	0.18	-21.18
104	103.017	0.24	-27.79
105.5	104.896	0.27	-31.61
107	106.775	0.32	-38.03
108.5	108.655	0.38	-44.62
110	110.534	0.38	-44.72
111.5	112.413	0.35	-40.94
113	114.293	0.23	-26.69
114.5	115.986	0.14	-17.1
116	117.142	0.1	-11.42
117.5	118.27	0.05	-5.45
119	119.317	0.01	-1.16
121.438	120.947	-0.02	2.2
123.875	122.575	-0.05	6.3
126.313	124.25	-0.04	4.91
128.75	126.082	0.01	-1.25
131.188	128.481	0.25	-29.39
132.714	130.393	0.58	-68.43
133.786	131.736	0.72	-84.62
134.857	133.12	0.94	-111.46
135.929	134.553	1.06	-125.54
137	135.978	1.09	-128.94
138.071	137.32	1.08	-127.05
139.143	138.663	1.03	-121.41
140.214	140.005	0.99	-117.27
141.286	141.096	0.96	-113.29
142.357	141.901	0.92	-108.6
143.429	142.707	0.89	-105.02
144.5	143.512	0.88	-103.84
146	144.526	0.89	-105.02
147.5	145.51	0.96	-113.28
149	146.412	1.01	-118.79
150.5	147.314	1.02	-119.99
152	148.249	1.01	-118.94
153.5	149.251	0.95	-111.98
155	150.58	0.81	-95.63
156.5	152.585	0.65	-76.94
158	154.671	0.72	-85.45
159.5	156.971	0.76	-89.35
161	159.477	0.67	-79.08
162.5	161.983	0.67	-78.58
164	164.489	0.54	-64.06
165.5	166.807	0.44	-51.41
167	168.911	0.42	-49.53
168.5	170.915	0.49	-57.44
170	172.809	0.56	-66.06
171.5	174.688	0.65	-76.51
173	176.334	0.66	-77.72
174.5	177.536	0.62	-72.7
176	178.739	0.58	-67.91
177.5	179.942	0.57	-67.24
179	181.145	0.64	-75.06
180.5	182.348	0.7	-82.77
182	183.55	0.72	-85.09
183.5	184.753	0.73	-86.15
185	185.956	0.68	-80.33
186.5	187.294	0.62	-73.35
188	188.911	0.53	-63.07
189.5	190.791	0.4	-47.49
191	192.67	0.28	-33.15
192.5	194.549	0.2	-23.33
194	196.429	0.17	-19.59
195.5	198.035	0.11	-13.37
197	199.534	0.08	-9.68
198.5	200.737	0.14	-16.1
200	201.94	0.22	-26.24
201.5	203.131	0.22	-25.66
203	204.259	0.15	-17.55
204.5	205.387	0.13	-15.05
206	206.406	0.11	-12.85
207.5	207.408	0.09	-10.78
209	208.411	0.08	-9.53
210.5	209.413	0.07	-8.3
212	210.415	0.05	-5.54
213.5	211.418	0.03	-3.95
215	212.42	0.03	-3.54
216.5	213.422	0.03	-3.55
218	214.46	0.05	-6.06
219.5	215.588	0.1	-11.62
221	216.715	0.14	-16.17
222.5	218.43	0.21	-24.47
224	220.435	0.46	-53.98
225.5	222.617	0.7	-83.15
227	224.872	0.68	-80.8
228.5	227.127	0.57	-67.59
230	229.382	0.53	-62.42
231.5	231.605	0.44	-52.26
233	233.609	0.23	-26.74
234.5	235.562	0.1	-11.7
236	237.441	0.08	-9.38
237.5	239.272	0.19	-22.16
239	240.776	0.22	-25.38
240.5	242.434	0.29	-33.69
242	244.314	0.4	-47.76
243.5	246.193	0.53	-61.97
245	248.072	0.7	-82.83
246.5	249.952	0.84	-98.66
248	251.831	0.9	-106.09
249.5	253.711	0.92	-108.11
251	255.59	0.89	-105.01
252.5	257.469	0.82	-96.41
254	259.251	0.76	-89.79
255.5	260.496	0.75	-88.48
257	261.623	0.77	-91.34
258.5	262.701	0.74	-86.89
260	263.703	0.71	-84.22
261.5	264.637	0.73	-86.36
263	265.539	0.77	-90.62
264.5	266.441	0.78	-92.11
266	267.343	0.77	-90.74
267.5	268.245	0.77	-90.54
269	269.148	0.8	-94.23
270.5	270.146	0.79	-93.69
272	271.198	0.7	-82.95
273.5	272.401	0.58	-68.65
275	273.604	0.57	-66.84
276.5	274.923	0.61	-72.07
278	276.519	0.6	-70.42
279.5	278.398	0.49	-57.8
281	280.277	0.36	-42.77
282.5	281.682	0.24	-27.74
284	282.885	0.15	-18.01
285.5	284.087	0.15	-17.61
287	285.251	0.14	-16.37
288.5	286.378	0.14	-16.88
290	287.524	0.23	-27.12
291.5	288.727	0.35	-41.02
293	289.929	0.4	-46.95
294.5	291.245	0.42	-49.62
296	293.051	0.47	-55.55
297.5	294.93	0.51	-59.66
299	296.81	0.52	-61.01
300.5	298.689	0.45	-53.54
302	300.569	0.36	-42.03
303.5	302.448	0.27	-32.3
